item_id,study_title,retraction_context,cause_category,primary_retraction_cause,republication_status,post_retraction_reanalysis,replacement_doi,strategy_category
74,Antenatal corticosteroid administration before elective caesarean section at term to prevent neonatal respiratory morbidity: a randomized controlled trial,"The retraction was issued due to serious concerns regarding data integrity and the author's failure to provide the original dataset for verification. Consequently, the conclusion is deemed unreliable, which is particularly critical given that this study's large sample size had previously skewed systematic reviews and clinical guidelines.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
75,"Oral dydrogesterone treatment during early pregnancy to prevent recurrent pregnancy loss and its role in modulation of cytokine production: a double-blind, randomized, parallel, placebo-controlled trial","The retraction was issued due to significant errors in the reported data and the inability of the authors to provide the original data for verification, rendering the claims regarding the drug's efficacy and the statistical significance of the results unreliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
76,Colon and rectal surgery for cancer without mechanical bowel preparation: one-center randomized prospective trial,"The article was retracted due to significant plagiarism, duplicating large portions of text from a previously published study in Annals of Surgery. This ethical violation invalidates the paper as an original contribution and casts serious doubt on the authenticity and independence of the reported data and methodology, rendering the conclusions unreliable.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
77,Acamprosate and its efficacy in treating alcohol dependent adolescents,"The retraction due to copyright claims and duplication of text indicates significant ethical violations regarding the originality of the work. As the content is plagiarized or duplicated, the study cannot be accepted as a valid, independent scientific report, rendering the conclusions unreliable.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
78,Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery,"The retraction is based on findings of data falsification and fabrication, which implies the patient data and resulting statistical significance favoring ramosetron were invented or manipulated, rendering the conclusion regarding its superior efficacy scientifically invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
79,The impact of nurse short message services and telephone follow-ups on diabetic adherence: which one is more effective?,"The paper was retracted solely due to duplicate publication, as the findings had previously been published in another journal. This ethical violation regarding redundancy does not inherently undermine the scientific validity or accuracy of the data and conclusions presented.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
80,Anastrozole or letrozole for ovulation induction in clomiphene-resistant women with polycystic ovarian syndrome: a prospective randomized trial,"The paper was retracted due to significant unexplained duplication of data with another report involving a different study group, leading the investigating committee to state they cannot vouch for the validity of the data, which renders the comparative statistical results and conclusions unreliable.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
81,Reduction of microalbuminuria in patients with type 2 diabetes: the Shiga Microalbuminuria Reduction Trial (SMART),"The retraction confirms that over 10% of the primary outcome data (albumin-to-creatinine ratio) were falsified. Specifically, records were altered to lower values for valsartan and raise values for amlodipine, directly manufacturing the reported statistical advantage; thus, the conclusion of valsartan's superiority is entirely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
82,Reduction of postoperative nausea and vomiting with granisetron,"The retraction is due to overwhelming evidence of data fabrication and falsification, with investigations concluding that the reported variable distributions were statistically impossible. As the study results were invented, the conclusion regarding the superiority of granisetron is entirely unfounded and unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
83,Evaluation of efficacy of the perioperative administration of venlafaxine XR in the prevention of postmastectomy pain syndrome,"The retraction notice states that the study contains fabricated data; therefore, the reported statistical significance and efficacy of venlafaxine are based on falsified information, rendering the conclusion entirely unreliable and invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
84,Prevention of propofol-induced injection pain by remifentanil: a placebo-controlled comparison with lidocaine,"The study was retracted due to a confirmed lack of ethical (IRB) approval and findings of misconduct by the author. As the research was conducted without necessary ethical oversight and is associated with official misconduct investigations, the reported clinical data and efficacy comparisons are considered invalid and should not influence medical practice.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
85,Brief communication: ramipril markedly improves walking ability in patients with peripheral arterial disease: a randomized trial,"The paper was retracted due to findings of data falsification and an inability to validate primary data sources following an institutional investigation. As the reported improvements in walking metrics rely entirely on this compromised data, the study's conclusions regarding the efficacy of ramipril are invalid and cannot be trusted.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
86,Transcutaneous vagus nerve stimulation (tVNS) enhances response selection during action cascading processes,"The retraction was issued due to confirmed misconduct regarding the deletion of participants from datasets. This data manipulation compromises the integrity of the statistical analysis, meaning the reported significant differences in reaction times between groups are unreliable and the conclusion regarding the efficacy of tVNS cannot be supported.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
87,Length of survival and lymphocyte percentage in women with mammary cancer as a function of psychotherapy,"The retraction is based on an institutional review that found the datasets invalid due to severe issues with participant recruitment, data collection biases, and reliability. The review deemed the reported results implausible and incompatible with modern clinical science, meaning the claimed benefits of psychotherapy are not supported by credible evidence.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
88,Mobile phone text messaging and Telephone follow-up in type 2 diabetic patients for 3 months: a comparative study,"The paper was retracted solely because it was a duplicate publication of an article previously published in another journal. As the retraction is based on a violation of publication ethics (dual submission) rather than flaws in the data or methodology, the scientific reliability of the conclusion regarding the efficacy of SMS interventions remains technically unaffected, though this specific publication record is invalid.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
89,"The efficacy and safety of diacerein in the treatment of painful osteoarthritis of the knee: a randomized, multicenter, double-blind, placebo-controlled study with primary end points at two months after the end of a three-month treatment period","The retraction was issued due to a discrepancy identified in the database during a post-hoc analysis, which rendered the original statistical analysis unreliable. The retraction notice explicitly states that the conclusions regarding the efficacy of diacerein versus placebo are not supported by robust data, directly invalidating the paper's claims of superiority and sustained treatment effects.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
90,Gonadotropin-releasing hormone agonists for prevention of chemotherapy-induced ovarian damage: prospective randomized study,"The article was retracted due to significant errors in the reported data and the author's inability to provide original data for verification. As the conclusion regarding the efficacy of GnRHa relies entirely on these specific statistical comparisons (such as menstruation resumption rates and FSH levels), the lack of data validity renders the study's findings and clinical recommendations unreliable.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
91,Combined coenzyme q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,"The retraction undermines the conclusion because the authors could not provide raw data to resolve concerns regarding data collection, accuracy, and analysis. Additionally, the study was a duplicate of a previously published article, meaning the reported significant improvements are considered unreliable and unverified.",duplication_or_overlap,duplication_or_overlap,Unknown,No,,duplication_or_overlap
92,Does a single endometrial biopsy regimen (s-ebr) improve icsi outcome in patients with repeated implantation failure? A randomised controlled trial,"The retraction was initiated due to concerns about the plausibility of the data and statistical findings, specifically causing a loss of confidence in the claimed improvement of implantation rates. Because the original data was unavailable for verification, the study's conclusion regarding the efficacy of S-EBR is rendered unreliable.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
93,Adding l-carnitine to clomiphene resistant pcos women improves the quality of ovulation and the pregnancy rate,"The paper was retracted due to being a duplicate of a study previously published in another journal. While the retraction stems from ethical misconduct regarding redundant publication rather than explicit data fabrication, this specific article represents a misuse of the publishing system and distorts the scientific record by artificially inflating the volume of evidence supporting the conclusion.",fabrication_or_manipulation,fabrication_or_manipulation,Unknown,No,,fabrication_or_manipulation
94,Role of phyto-oestrogens in ovulation induction in women with polycystic ovarian syndrome,"The retraction was issued due to concerns about the reported p-values and the provenance of the raw data, which appeared to have been created after the study was completed. Because the editors have lost confidence in the underlying data, the statistical evidence supporting the efficacy of Cimicifuga racimosa and its alleged superiority over clomiphene citrate is considered unreliable.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
95,Low-to-moderate intensity aerobic exercise training modulates irritable bowel syndrome through antioxidative and inflammatory mechanisms in women: results of a randomized controlled trial,"The retraction was issued due to serious statistical irregularities, including incorrect p-values, inappropriate analysis methods, and data points appearing identical to those in other unrelated papers by the same author. Consequently, the reported statistical significance regarding the effects of exercise on biomarkers and IBS symptoms is invalid, completely undermining the study's conclusions.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
96,"Macitentan for the treatment of inoperable chronic thromboembolic pulmonary hypertension (merit-1): results from the multicentre, phase 2, randomised, double-blind, placebo-controlled study","The retraction cites specific errors in data, analyses, and results/conclusions. These errors invalidate the statistical significance reported for the primary endpoint (pulmonary vascular resistance) and secondary outcomes, rendering the conclusion regarding the drug's efficacy unreliable in this specific version of the manuscript.",other_or_unclassified,other_or_unclassified,Unknown,No,,other_or_unclassified
97,Volume therapy with a new hydroxyethyl starch solution in cardiac surgical patients before cardiopulmonary bypass,"The retraction was initiated following an institutional investigation that found data inconsistencies and recommended retracting all papers by the lead author, Joachim Boldt, due to a fundamental lack of research integrity. Consequently, the clinical data supporting the efficacy and safety of HES 130/0.4 in this study is considered unreliable and potentially fabricated, rendering the conclusion invalid.",fabrication_or_manipulation,fabrication_or_manipulation,Unknown,No,,fabrication_or_manipulation
98,Pain management in cardiac surgery patients: comparison between standard therapy and patient-controlled analgesia regimen,"The paper was retracted due to findings of data inconsistencies and systemic misconduct by the lead author, Joachim Boldt, following an institutional investigation. Because the integrity of the data comparing pain scores, pulmonary function, and drug consumption is compromised, the study's claims regarding the superiority of PCA are unreliable and cannot be validated.",misconduct_or_ethics,misconduct_or_ethics,Unknown,No,,misconduct_or_ethics
99,"Probiotic supplementation and the effects on weight loss, glycaemia and lipid profiles in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial","The retraction was issued following an investigation that revealed significant concerns about data integrity and trial design, with an external statistical reviewer deeming the results and conclusions unreliable. Consequently, the reported statistical improvements in weight and metabolic markers cannot be trusted.",fabrication_or_manipulation,fabrication_or_manipulation,Unknown,No,,fabrication_or_manipulation
100,Progesterone effects on preterm birth in high-risk pregnancies: a randomized placebo-controlled trial,"The paper was retracted due to concerns regarding the method of randomization, which is the foundational mechanism in a randomized controlled trial to ensure group comparability and eliminate selection bias. Because the randomization process is suspect, the reported statistical significance and efficacy of the treatment are considered unreliable, leading the Editor-in-Chief to declare a loss of confidence in the study's conclusions.",randomisation_irregularities,randomisation_irregularities,Unknown,No,,randomisation_irregularities
