item_id,study_title,polluted_count,recognised_count,neutral_count,model_count,polluted_rate,recognised_rate,Title_New,citations,retraction_date_meta,theme,theme_assignment_method,Condition (disease),years_since_retraction
84,Prevention of propofol-induced injection pain by remifentanil: a placebo-controlled comparison with lidocaine,4,0,10,14,0.2857142857142857,0.0,Prevention of propofol-induced injection pain by remifentanil: a placebo-controlled comparison with lidocaine,92,2011-06-21,Perioperative pain & anesthesia,locked 100-item mapping,Propofol-induced injection pain,15.197809719370294
85,Brief communication: ramipril markedly improves walking ability in patients with peripheral arterial disease: a randomized trial,6,1,7,14,0.42857142857142855,0.07142857142857142,Brief communication: ramipril markedly improves walking ability in patients with peripheral arterial disease: a randomized trial,134,2006-05-02,Cardiovascular & hypertension,locked 100-item mapping,Peripheral arterial disease,20.334017796030118
86,Transcutaneous vagus nerve stimulation (tVNS) enhances response selection during action cascading processes,9,0,5,14,0.6428571428571429,0.0,Transcutaneous vagus nerve stimulation (tVNS) enhances response selection during action cascading processes,136,2022-08-26,Neurology,locked 100-item mapping,Transcutaneous vagus nerve stimulation,4.016427104722792
87,Length of survival and lymphocyte percentage in women with mammary cancer as a function of psychotherapy,0,0,14,14,0.0,0.0,Length of survival and lymphocyte percentage in women with mammary cancer as a function of psychotherapy,66,2020-02-10,Other,locked 100-item mapping,Terminal mammary cancer,6.5571526351813825
88,Mobile phone text messaging and Telephone follow-up in type 2 diabetic patients for 3 months: a comparative study,2,0,12,14,0.14285714285714285,0.0,Mobile phone text messaging and Telephone follow-up in type 2 diabetic patients for 3 months: a comparative study,66,2012-11-06,Diabetes & metabolic,locked 100-item mapping,Type 2 diabetic,13.817932922655714
89,"The efficacy and safety of diacerein in the treatment of painful osteoarthritis of the knee: a randomized, multicenter, double-blind, placebo-controlled study with primary end points at two months after the end of a three-month treatment period",3,0,11,14,0.21428571428571427,0.0,"The efficacy and safety of diacerein in the treatment of painful osteoarthritis of the knee: a randomized, multicenter, double-blind, placebo-controlled study with primary end points at two months after the end of a three-month treatment period",172,2023-06-20,Musculoskeletal & fracture,locked 100-item mapping,Painful osteoarthritis of the knee,3.2005475701574264
90,Gonadotropin-releasing hormone agonists for prevention of chemotherapy-induced ovarian damage: prospective randomized study,0,0,14,14,0.0,0.0,Gonadotropin-releasing hormone agonists for prevention of chemotherapy-induced ovarian damage: prospective randomized study,418,2023-07-27,Other,locked 100-item mapping,Ovarian damage,3.0992470910335386
91,Combined coenzyme q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,10,0,4,14,0.7142857142857143,0.0,Combined coenzyme q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,93,2023-09-06,PCOS & ovulation induction,locked 100-item mapping,Clomiphene-citrate-resistant polycystic ovary syndrome,2.9869952087611225
92,Does a single endometrial biopsy regimen (s-ebr) improve icsi outcome in patients with repeated implantation failure? A randomised controlled trial,1,0,13,14,0.07142857142857142,0.0,Does a single endometrial biopsy regimen (s-ebr) improve icsi outcome in patients with repeated implantation failure? A randomised controlled trial,136,2023-09-14,Pregnancy & reproductive,locked 100-item mapping,Repeated implantation failure,2.965092402464066
93,Adding l-carnitine to clomiphene resistant pcos women improves the quality of ovulation and the pregnancy rate,13,0,1,14,0.9285714285714286,0.0,Adding l-carnitine to clomiphene resistant pcos women improves the quality of ovulation and the pregnancy rate. A randomized clinical trial,98,2023-10-06,PCOS & ovulation induction,locked 100-item mapping,Clomiphene resistant pcos women,2.9048596851471595
94,Role of phyto-oestrogens in ovulation induction in women with polycystic ovarian syndrome,6,0,8,14,0.42857142857142855,0.0,Role of phyto-oestrogens in ovulation induction in women with polycystic ovarian syndrome,75,2023-11-01,PCOS & ovulation induction,locked 100-item mapping,Polycystic ovarian syndrome,2.833675564681725
95,Low-to-moderate intensity aerobic exercise training modulates irritable bowel syndrome through antioxidative and inflammatory mechanisms in women: results of a randomized controlled trial,5,0,9,14,0.35714285714285715,0.0,Low-to-moderate intensity aerobic exercise training modulates irritable bowel syndrome through antioxidative and inflammatory mechanisms in women: results of a randomized controlled trial,92,2023-12-05,Gastrointestinal,locked 100-item mapping,Irritable bowel syndrome,2.7405886379192332
96,"Macitentan for the treatment of inoperable chronic thromboembolic pulmonary hypertension (merit-1): results from the multicentre, phase 2, randomised, double-blind, placebo-controlled study",13,0,1,14,0.9285714285714286,0.0,"Macitentan for the treatment of inoperable chronic thromboembolic pulmonary hypertension (merit-1): results from the multicentre, phase 2, randomised, double-blind, placebo-controlled study",326,2024-03-26,Cardiovascular & hypertension,locked 100-item mapping,Inoperable chronic thromboembolic pulmonary hypertension,2.433949349760438
97,Volume therapy with a new hydroxyethyl starch solution in cardiac surgical patients before cardiopulmonary bypass,0,1,13,14,0.0,0.07142857142857142,Volume therapy with a new hydroxyethyl starch solution in cardiac surgical patients before cardiopulmonary bypass,102,2024-06-05,Volume therapy & colloids,locked 100-item mapping,Cardiac surgical patients before cardiopulmonary bypass,2.239561943874059
98,Pain management in cardiac surgery patients: comparison between standard therapy and patient-controlled analgesia regimen,1,0,13,14,0.07142857142857142,0.0,Pain management in cardiac surgery patients: comparison between standard therapy and patient-controlled analgesia regimen,95,2024-06-09,Perioperative pain & anesthesia,locked 100-item mapping,Cardiac surgery,2.2286105407255303
99,"Probiotic supplementation and the effects on weight loss, glycaemia and lipid profiles in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial",4,0,10,14,0.2857142857142857,0.0,"Probiotic supplementation and the effects on weight loss, glycaemia and lipid profiles in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial",117,2024-07-02,PCOS & ovulation induction,locked 100-item mapping,Polycystic ovary syndrome,2.1656399726214923
100,Progesterone effects on preterm birth in high-risk pregnancies: a randomized placebo-controlled trial,0,0,14,14,0.0,0.0,Progesterone effects on preterm birth in high-risk pregnancies: a randomized placebo-controlled trial,204,2024-07-24,Pregnancy & reproductive,locked 100-item mapping,Preterm birth in high-risk pregnancies,2.105407255304586
